column_name,data_type,is_nullable
id,uuid,NO
name,text,NO
website,text,YES
created_at,timestamp with time zone,NO
logo_url,text,YES
description,text,YES
founded_year,integer,YES
headquarters,text,YES
employee_count_range,text,YES
valuation_usd,numeric,YES
last_funding_date,date,YES
industry_tags,ARRAY,YES
social_links,jsonb,YES
name_en,text,YES
name_zh_hans,text,YES
name_zh_hant,text,YES
description_en,text,YES
description_zh_hans,text,YES
description_zh_hant,text,YES
updated_at,timestamp with time zone,YES
company_type,text,YES
company_tier,text,YES
company_category,text,YES
focus_areas,ARRAY,YES